Country,Year,Female,Male,Total
HongKong,1986,79.73,74.1,76.95
HongKong,1987,79.87,74.14,77.01
HongKong,1988,79.84,74.23,77.03
HongKong,1989,80.08,74.1,77.05
HongKong,1990,80.22,74.47,77.31
HongKong,1991,80.77,75.23,77.99
HongKong,1992,80.73,74.91,77.75
HongKong,1993,81.09,75.44,78.23
HongKong,1994,82.02,76,78.98
HongKong,1995,82.19,76.17,79.14
HongKong,1996,82.43,76.53,79.43
HongKong,1997,82.96,77.08,79.98
HongKong,1998,83.12,77.21,80.12
HongKong,1999,83.34,77.59,80.43
HongKong,2000,83.61,77.79,80.66
HongKong,2001,84.36,78.21,81.24
HongKong,2002,84.39,78.39,81.37
HongKong,2003,84.08,78.12,81.04
HongKong,2004,84.43,78.57,81.46
HongKong,2005,84.35,78.61,81.44
HongKong,2006,85.15,79.35,82.23
HongKong,2007,85.31,79.19,82.2
HongKong,2008,84.92,79.21,82.03
HongKong,2009,85.47,79.75,82.59
HongKong,2010,85.74,79.91,82.8
HongKong,2011,86.25,80.28,83.24
HongKong,2012,86.22,80.39,83.28
HongKong,2013,86.76,80.94,83.84
HongKong,2014,86.75,81.13,83.94
HongKong,2015,86.95,81.35,84.15
HongKong,2016,87.27,81.35,84.31
HongKong,2017,87.62,81.79,84.72
HongKong,2018,87.99,82.1,85.05
HongKong,2019,88.06,82.14,85.12
HongKong,2020,88.02,82.27,85.17
