Country,Year,Female,Male,Total
Hungary,1950,64.31,59.93,62.14
Hungary,1951,64.75,60.16,62.47
Hungary,1952,66.16,61.65,63.92
Hungary,1953,65.87,61.78,63.84
Hungary,1954,67.29,63.5,65.42
Hungary,1955,68.79,64.94,66.89
Hungary,1956,68.42,63.55,66
Hungary,1957,68.53,64.09,66.34
Hungary,1958,69.47,65.33,67.43
Hungary,1959,69.52,65.06,67.32
Hungary,1960,70.17,65.92,68.08
Hungary,1961,71.18,66.76,69.01
Hungary,1962,70.13,65.68,67.94
Hungary,1963,71.2,66.6,68.94
Hungary,1964,71.85,67,69.46
Hungary,1965,71.53,66.7,69.15
Hungary,1966,72.22,67.49,69.89
Hungary,1967,72.02,66.85,69.46
Hungary,1968,71.97,66.67,69.34
Hungary,1969,72.04,66.67,69.38
Hungary,1970,72.1,66.33,69.22
Hungary,1971,72.06,66.1,69.08
Hungary,1972,72.6,66.81,69.72
Hungary,1973,72.55,66.63,69.6
Hungary,1974,72.23,66.3,69.27
Hungary,1975,72.5,66.34,69.42
Hungary,1976,72.61,66.69,69.66
Hungary,1977,73.11,66.77,69.94
Hungary,1978,72.83,66.15,69.47
Hungary,1979,73.17,66.22,69.67
Hungary,1980,72.76,65.52,69.09
Hungary,1981,72.93,65.48,69.15
Hungary,1982,73.2,65.62,69.35
Hungary,1983,72.97,65.05,68.93
Hungary,1984,73.13,64.98,68.96
Hungary,1985,73.01,64.95,68.9
Hungary,1986,73.16,65.2,69.11
Hungary,1987,73.7,65.56,69.56
Hungary,1988,73.98,66,69.94
Hungary,1989,73.72,65.24,69.39
Hungary,1990,73.78,65.15,69.37
Hungary,1991,73.97,65.11,69.44
Hungary,1992,73.94,64.66,69.17
Hungary,1993,73.98,64.65,69.18
Hungary,1994,74.46,65,69.6
Hungary,1995,74.72,65.42,69.97
Hungary,1996,75,66.3,70.6
Hungary,1997,75.45,66.64,71
Hungary,1998,75.53,66.43,70.92
Hungary,1999,75.5,66.67,71.04
Hungary,2000,76.03,67.49,71.76
Hungary,2001,76.56,68.19,72.4
Hungary,2002,76.68,68.28,72.51
Hungary,2003,76.66,68.32,72.52
Hungary,2004,77.1,68.66,72.91
Hungary,2005,77.07,68.61,72.86
Hungary,2006,77.55,69.07,73.34
Hungary,2007,77.52,69.25,73.43
Hungary,2008,77.97,69.82,73.96
Hungary,2009,78.11,70.11,74.18
Hungary,2010,78.31,70.56,74.52
Hungary,2011,78.48,71.14,74.91
Hungary,2012,78.62,71.55,75.18
Hungary,2013,79,72.12,75.68
Hungary,2014,79.23,72.25,75.85
Hungary,2015,78.87,72.23,75.65
Hungary,2016,79.57,72.56,76.16
Hungary,2017,79.27,72.55,76
Hungary,2018,79.53,72.72,76.2
Hungary,2019,79.68,73.05,76.45
Hungary,2020,79.02,72.32,75.72
