Country,Year,Female,Male,Total
USA,1933,62.8,59.19,60.9
USA,1934,62.3,58.29,60.19
USA,1935,63.05,58.98,60.91
USA,1936,62.6,58.35,60.35
USA,1937,63.35,58.98,61.03
USA,1938,64.54,60.46,62.39
USA,1939,65.24,61.12,63.07
USA,1940,65.55,61.13,63.22
USA,1941,66.26,61.58,63.79
USA,1942,67.13,62.21,64.54
USA,1943,66.96,61.97,64.36
USA,1944,67.73,62.51,65.06
USA,1945,68.35,62.97,65.59
USA,1946,68.88,63.59,66.13
USA,1947,69.55,64.32,66.8
USA,1948,70.07,64.66,67.22
USA,1949,70.52,65.02,67.63
USA,1950,71.01,65.4,68.06
USA,1951,71.22,65.41,68.17
USA,1952,71.5,65.54,68.38
USA,1953,71.91,65.8,68.72
USA,1954,72.7,66.57,69.5
USA,1955,72.8,66.58,69.56
USA,1956,72.95,66.61,69.64
USA,1957,72.74,66.36,69.41
USA,1958,73,66.6,69.67
USA,1959,73.31,66.75,69.9
USA,1960,73.3,66.62,69.82
USA,1961,73.71,67.04,70.24
USA,1962,73.59,66.88,70.11
USA,1963,73.5,66.63,69.94
USA,1964,73.81,66.82,70.19
USA,1965,73.93,66.8,70.25
USA,1966,73.97,66.69,70.21
USA,1967,74.33,66.94,70.52
USA,1968,74.08,66.55,70.21
USA,1969,74.4,66.77,70.48
USA,1970,74.65,67.02,70.74
USA,1971,74.98,67.39,71.1
USA,1972,75.11,67.42,71.18
USA,1973,75.32,67.62,71.4
USA,1974,75.85,68.18,71.96
USA,1975,76.46,68.72,72.54
USA,1976,76.68,69.08,72.85
USA,1977,77.09,69.41,73.23
USA,1978,77.23,69.62,73.41
USA,1979,77.66,70.01,73.83
USA,1980,77.48,69.98,73.74
USA,1981,77.8,70.41,74.12
USA,1982,78.08,70.8,74.47
USA,1983,78.09,70.97,74.56
USA,1984,78.17,71.12,74.68
USA,1985,78.18,71.08,74.66
USA,1986,78.27,71.14,74.74
USA,1987,78.36,71.31,74.88
USA,1988,78.31,71.32,74.85
USA,1989,78.56,71.6,75.13
USA,1990,78.85,71.85,75.4
USA,1991,78.97,72.03,75.55
USA,1992,79.18,72.32,75.81
USA,1993,78.94,72.17,75.6
USA,1994,79.06,72.39,75.77
USA,1995,79.08,72.59,75.88
USA,1996,79.22,73.07,76.2
USA,1997,79.38,73.54,76.53
USA,1998,79.43,73.81,76.69
USA,1999,79.35,73.92,76.7
USA,2000,79.43,74.12,76.84
USA,2001,79.52,74.27,76.95
USA,2002,79.59,74.35,77.02
USA,2003,79.7,74.53,77.17
USA,2004,80.06,74.96,77.57
USA,2005,80.07,74.96,77.56
USA,2006,80.34,75.24,77.84
USA,2007,80.57,75.52,78.09
USA,2008,80.6,75.65,78.17
USA,2009,80.92,76.03,78.52
USA,2010,81.08,76.26,78.71
USA,2011,81.09,76.34,78.76
USA,2012,81.21,76.47,78.87
USA,2013,81.22,76.47,78.88
USA,2014,81.3,76.53,78.94
USA,2015,81.18,76.36,78.79
USA,2016,81.23,76.26,78.76
USA,2017,81.22,76.21,78.73
USA,2018,81.39,76.37,78.88
USA,2019,81.51,76.48,78.99
USA,2020,79.89,74.34,77.07
